,LOG_LIQ,EDUC,LOG_INCOME,HHOUSES,AGE,FINLIT,EMERGSAV,KIDS,MARRIED,OCCAT1,YESFINRISK,LOG_DEBT,SPENDMOR,LATE,LOG_RET_ASSETS
3895,10.74937727911096,8,11.248253152234346,1,63,3,0,1,1,1,0,0.0,4,0,12.339733404786474
3900,7.972810784121404,8,11.712956250852091,0,29,2,0,2,1,1,0,10.34884622430597,5,0,10.494075844768336
3905,13.676249640055394,11,15.399612882686796,1,59,3,1,0,1,2,0,0.0,5,0,17.40650153883008
3910,8.429672593886743,14,12.342150883607493,1,43,3,1,2,1,1,0,13.296318365198623,5,0,13.217820819092363
3915,10.416341118636355,8,12.423643576356815,1,40,3,0,0,1,1,0,13.179690332595941,5,0,13.171498244061793
3920,8.35490952835879,8,11.667700038278326,1,30,2,1,2,1,1,0,12.57846689132745,4,0,10.096213132628804
3925,12.644330802262578,13,14.257959280130619,1,71,3,0,0,1,2,0,14.650591668252272,4,0,15.844973861243904
3930,11.441440204346033,14,13.646136579473488,1,53,3,1,0,1,2,0,13.329379172803593,5,0,14.590284268212317
3935,13.380566689411136,13,13.299109967325496,1,67,3,1,0,1,1,0,13.489989537282215,4,0,15.095972347581064
3940,5.993961427306569,8,9.69367212060944,1,78,2,0,0,2,3,0,9.717218213494077,5,1,5.993961427306569
3945,11.002116507732017,11,11.773059697378923,1,61,3,0,0,1,1,0,11.373674891823535,5,0,13.83727302821889
3950,9.717218213494077,6,11.74774208708152,1,42,2,0,1,1,1,0,11.089820688682373,2,0,11.613684409620816
3955,8.418697944667139,12,11.686049021222916,0,71,3,1,3,1,3,0,0.0,3,1,12.136352724092163
3960,5.3981627015177525,11,9.930047914868675,0,67,3,0,0,2,3,0,10.571342565808699,1,1,9.410911062438
3965,10.819798284210286,9,11.063113369269185,1,40,2,0,0,2,4,0,12.81584093453868,4,0,10.97679912709094
3970,9.568084743872936,12,12.12722921174015,1,61,3,1,1,1,2,0,8.748463629942055,5,0,13.337960123083075
3975,11.519911009143941,13,11.969173203349216,1,52,2,0,2,1,2,0,11.918397239722838,4,0,12.233206179086634
3980,11.409795792463761,14,12.866095815680177,1,69,3,0,0,1,2,0,14.044636976184343,3,0,13.321543690070312
3985,13.304686600863562,8,12.009446852348587,1,69,2,0,0,1,2,0,13.710151153416941,5,0,14.425276673063282
3990,8.006700845440367,12,10.897601753215403,0,40,3,0,0,2,1,0,8.987321812850125,4,0,9.305741456739435
3995,6.608000625296087,13,10.16365262239305,0,59,2,0,1,2,1,0,9.539716058977092,5,0,7.039660349862076
4000,9.200391041122515,8,10.961513933396654,1,80,3,1,1,2,3,0,11.814887590396737,4,0,12.412684294889793
4005,7.601402334583733,9,10.540934738927314,1,65,2,1,0,2,3,0,6.803505257608338,5,0,10.373522431293592
4010,9.90353755128617,12,14.0380225455641,1,63,1,1,0,2,2,0,12.180759965737863,4,0,13.47442911525415
4015,9.99884318585288,12,12.70587505492555,0,37,3,1,1,1,2,0,10.407318772389159,4,0,11.947955847790901
4020,11.779136168550774,8,11.428222385556161,1,64,3,1,0,1,3,0,9.642187721358466,5,0,13.639371052850533
4025,8.517393171418904,6,10.699154876036824,1,57,1,0,1,1,3,0,0.0,5,0,8.594339400592892
4030,8.309184527686298,10,11.09644927542817,1,81,3,1,0,1,2,0,9.888424674859083,2,0,9.21642184229205
4035,6.85751406254539,8,10.699154876036824,1,45,2,0,1,2,1,0,12.891694078557842,5,0,8.507344855361422
4040,7.1316985104669115,8,10.204473075038809,0,46,2,0,1,2,4,0,8.24301946898925,3,0,7.1316985104669115
4045,16.039593530969935,12,14.338001938359346,1,49,3,1,1,1,2,0,13.07107218827772,2,0,16.298582275292933
4050,16.072051817168948,13,15.151776776475545,1,52,3,1,1,1,2,0,0.0,5,0,17.011076854340185
4055,9.350189267092581,8,11.773059697378923,1,57,2,0,0,1,2,0,0.0,5,0,12.558492047480835
4060,7.972810784121404,10,11.845379821066128,1,41,3,0,1,1,1,0,0.0,2,0,12.727544397630073
4065,8.470311205516108,12,11.079920226254767,0,28,2,0,0,1,2,0,9.90353755128617,4,0,10.129467078669546
4070,7.601402334583733,8,11.712956250852091,1,67,2,0,0,1,3,0,11.900097605672068,2,1,11.434974734252892
4075,14.914123179965662,12,16.776438905014512,1,66,3,0,1,1,2,1,15.375758436291614,3,0,19.988859172431663
4080,0.0,9,9.98133877479715,1,29,2,0,0,2,4,0,6.68586094706836,5,1,0.0
4085,5.739792912179234,9,8.85750474181683,0,39,2,0,0,2,4,0,8.839421607620602,2,1,5.739792912179234
4090,9.90353755128617,14,11.079920226254767,1,80,3,1,0,2,3,0,8.630700432209832,2,0,15.379532816160461
4095,7.762596048540069,8,11.845379821066128,0,35,2,0,0,1,1,0,10.288783966353765,1,0,7.804251383528112
4100,9.883335864325275,13,11.59073968241829,1,44,2,1,1,1,1,0,12.59473402514672,4,0,11.622685289462678
4105,12.317618492524995,8,13.439186700886735,1,65,2,1,0,1,3,0,0.0,4,0,15.025247020455234
4110,12.84265212010087,13,13.814273317948402,1,60,1,1,2,1,1,0,13.049794835104816,5,0,16.191346205634712
4115,8.240385115516334,9,10.623170750425082,1,66,2,0,0,1,1,0,0.0,5,0,8.66406026722579
4120,14.779448324693963,12,14.205934758544721,1,77,3,1,0,1,2,0,15.434898999271326,3,0,17.102493566213486
4125,14.540156890079597,12,14.108427649734772,1,67,2,1,0,1,2,0,15.551757493442464,2,0,16.86677218860996
4130,9.658290091690503,12,11.797752121925635,1,40,2,0,1,1,1,0,8.699681400989514,2,1,9.658290091690503
4135,10.981914140544825,12,15.114145718356587,1,63,3,1,0,1,3,0,0.0,4,0,17.623478883648524
4140,11.483300960570345,11,11.969173203349216,1,38,3,1,1,1,1,0,11.440365524765756,2,0,12.159405476211566
4145,9.720225553665117,9,11.629960039799675,1,61,1,0,0,1,1,0,11.643962499267984,5,0,12.523256479761772
4150,9.431161227920747,12,11.600689921732425,1,40,3,1,2,1,1,0,11.636036503798104,5,0,11.838416196403573
4155,5.916202062607435,12,10.835727530509162,0,23,3,0,0,1,1,0,8.732465848349879,3,0,6.19644412779452
4160,9.32375833901174,11,11.41638805747596,0,45,3,0,1,2,1,0,9.412546252075513,3,0,12.480673277818179
4165,5.303304908059076,8,10.16365262239305,0,25,2,0,2,1,1,0,5.303304908059076,4,0,5.303304908059076
4170,7.039660349862076,7,10.699154876036824,0,47,2,0,3,2,4,0,9.850666776352545,4,0,7.039660349862076
4175,7.2868764117507,2,10.897601753215403,0,41,2,0,2,1,1,0,8.45553053102413,2,1,7.2868764117507
4180,6.066108090103747,6,9.26803702884847,0,28,2,0,2,1,1,1,0.0,4,0,6.066108090103747
4185,9.259225769705994,13,11.219680157476482,0,35,3,0,1,1,1,0,10.672460871214069,3,0,9.259225769705994
4190,6.814542897259958,6,11.59073968241829,0,59,0,0,0,1,1,0,9.908524844053396,5,0,6.814542897259958
4195,7.300472814267799,8,10.723251890363157,0,36,1,0,4,2,3,0,10.24106631958382,4,0,7.300472814267799
4200,14.080410834801567,12,13.468669011125677,1,41,3,1,2,1,4,0,12.524530013005734,5,0,14.548984090233867
4205,5.017279836814924,8,10.792243293398966,0,41,0,0,2,2,1,0,0.0,5,0,5.017279836814924
4210,12.956287541372633,14,11.485380194730258,1,67,3,0,0,1,3,0,8.517393171418904,4,0,13.917607654457573
4215,4.110873864173311,2,9.065117423169948,0,69,2,0,0,1,3,0,0.0,4,0,4.110873864173311
4220,11.608244735642321,12,11.367598443988374,0,58,3,1,0,2,1,0,0.0,3,0,14.699278511355924
4225,7.490529402060711,13,12.066970356293535,1,46,3,0,2,1,1,0,13.241622656210733,1,1,11.437673762082719
4230,9.546884034617925,12,10.451325058234776,1,70,3,0,0,2,3,0,0.0,4,0,14.040253629363907
4235,6.2166061010848646,9,10.386788464403516,0,39,2,0,4,1,1,0,0.0,4,0,6.2166061010848646
4240,9.105090961257085,8,10.674462827538377,0,28,1,0,0,2,1,0,7.0909098220799835,1,0,9.105090961257085
4245,7.438971592395862,9,11.063113369269185,1,78,2,0,0,1,3,0,8.556606193773073,5,0,7.438971592395862
4250,3.044522437723423,10,9.00058661065466,0,25,1,0,1,2,1,0,9.261128538808288,4,1,3.044522437723423
4255,5.802118375377063,8,11.09644927542817,1,52,2,0,0,1,1,0,11.518917476956224,5,0,7.645397699428633
4260,4.61512051684126,9,9.69367212060944,1,63,2,0,0,2,4,0,0.0,2,0,10.130662964963708
4265,13.548938754204904,13,13.96656684555146,1,85,3,1,0,1,3,0,0.0,5,0,15.964478278897191
4270,13.384729180332174,9,12.951709356349655,1,39,2,0,3,1,2,0,14.06627005452127,4,0,13.894322662602555
4275,6.1779441140506,9,9.383539618396707,0,68,1,0,0,2,3,0,8.131824785007195,5,0,6.1779441140506
4280,13.478639641880966,8,13.862857270286732,1,39,3,1,3,1,1,0,12.919024904363686,5,0,14.57510116293097
4285,9.30027247947679,9,10.699154876036824,1,41,3,1,0,2,1,0,11.002116507732017,5,0,9.30027247947679
4290,13.833351458410394,12,0.0,0,75,3,0,0,1,2,1,0.0,1,0,14.702166896739968
4295,10.819798284210286,8,11.639529406064158,0,25,1,0,0,1,2,0,10.645448706505872,2,0,10.819798284210286
4300,9.680406499268875,8,10.897601753215403,1,48,1,0,1,1,1,0,10.594156665220533,5,0,9.680406499268875
4305,5.303304908059076,3,9.470543987306165,0,68,2,0,1,2,3,0,0.0,5,0,5.303304908059076
4310,14.498607907721096,14,13.088120909354299,1,82,3,0,0,1,3,0,0.0,2,0,16.700311326676903
4315,11.586185220346932,14,11.30306069379871,0,55,3,1,0,2,3,0,0.0,5,0,11.68352019721342
4320,13.597355791941425,12,13.979494069068629,1,64,3,1,1,1,1,0,14.095413198954706,2,0,15.265718479349365
4325,0.6931471805599453,8,9.6246836542707,1,68,1,0,1,2,3,0,0.0,5,0,0.6931471805599453
4330,11.608244735642321,8,11.549918073413814,1,33,2,1,0,1,1,0,12.5421912482017,5,0,11.841300723646832
4335,9.472781556562168,8,10.74678187553037,0,61,1,1,0,2,3,0,6.792344427470809,2,0,9.472781556562168
4340,8.870803443982124,9,10.897601753215403,1,57,3,0,0,1,1,0,12.013706813470414,4,0,9.02653771890043
4345,15.299385474180372,12,14.978505104936554,1,56,1,1,0,1,2,0,13.609716873485151,4,0,17.254324835300466
4350,8.006700845440367,8,10.31779779558084,1,66,2,0,0,2,2,0,0.0,1,0,8.006700845440367
4355,10.959557617938563,12,11.175229004346514,1,71,2,1,0,2,2,0,0.0,5,0,12.87774334868815
4360,9.027738775974909,10,12.356202576168052,1,45,2,0,0,1,2,0,12.154784614286667,4,0,9.89298256789098
4365,4.51085950651685,8,9.039802580037927,1,62,3,0,2,2,3,0,0.0,5,0,4.51085950651685
4370,10.736418414365376,9,10.87739942351305,1,70,3,1,0,2,1,0,0.0,5,0,12.783811780410995
4375,11.542493975902508,12,11.74774208708152,1,86,3,1,0,1,3,0,0.0,5,0,14.222974334070885
4380,10.596659732783579,8,11.128709656194046,1,54,1,1,2,1,2,0,12.895465286619547,5,0,12.388398368982115
4385,3.4339872044851463,8,11.367598443988374,1,24,3,0,0,1,1,0,11.341911733058936,1,1,6.7226297948554485
4390,13.418610167725486,13,12.138857187204595,1,62,3,1,0,1,2,0,0.0,2,0,15.099883206183014
4395,7.901377353792616,8,11.159961747859198,1,22,1,0,1,1,1,0,11.427269532586738,4,0,10.751520856703959
4400,10.463131911491967,11,11.837597736678639,1,62,3,1,0,2,1,0,11.156264806643742,3,0,14.58427574856807
4405,11.695255355062795,12,12.20592107089332,1,48,3,0,3,1,1,0,12.74578014344445,2,0,12.700771936142122
4410,8.79497643168877,11,11.392290774522229,1,57,1,0,0,2,1,0,12.671820356188537,1,0,13.155026095375646
4415,11.0186455364637,12,11.853101811967846,0,28,3,0,0,1,1,0,0.0,2,0,11.0186455364637
4420,8.294299608857235,8,11.610542128340578,0,26,2,0,2,1,1,0,10.860939421415225,1,0,8.517393171418904
4425,5.303304908059076,13,11.485380194730258,1,83,1,0,1,2,3,0,0.0,3,0,5.303304908059076
4430,10.413342705547674,12,11.079920226254767,0,30,2,0,0,1,1,0,11.964007453736912,2,0,10.413342705547674
4435,5.198497031265826,9,10.674462827538377,0,59,2,0,0,2,3,1,8.716207971151853,5,0,5.198497031265826
4440,5.303304908059076,1,9.6246836542707,1,81,0,0,0,1,3,0,0.0,4,0,5.303304908059076
4445,6.566672429803241,9,9.930047914868675,0,22,2,0,0,2,1,0,8.343077871169383,5,0,7.555381944240273
4450,13.597355791941425,9,11.435256335922215,0,78,3,1,0,1,3,0,0.0,4,0,13.811503540582295
4455,12.345838935721968,13,12.138857187204595,1,34,3,1,0,1,1,0,12.07824495582233,3,0,13.444448325847754
4460,5.5254529391317835,8,8.084480867798195,0,25,2,0,0,2,4,0,3.4339872044851463,2,0,5.5254529391317835
4465,9.952325334619427,12,10.243692364956795,1,52,3,0,2,2,4,0,13.569611298299009,2,0,9.961803629358965
4470,6.274762021241939,10,9.69367212060944,1,56,0,0,0,2,3,0,8.497194544909547,5,0,6.274762021241939
4475,10.275085591132715,14,12.388241794252275,1,64,3,1,1,1,1,0,13.239258908233676,5,0,14.279873935855239
4480,12.886643575525625,12,13.25465828094871,1,61,3,1,0,1,2,0,13.171155446333852,4,0,14.96766392951613
4485,6.62273632394984,8,9.818828007928495,0,25,1,0,1,1,4,0,0.0,4,0,6.62273632394984
4490,13.8924725250259,13,12.938805982316715,1,70,1,1,0,1,3,0,0.0,2,0,15.91720283082831
4495,13.208542908506082,12,14.052028004566143,1,73,0,1,0,1,3,0,0.0,5,0,16.474300554445346
4500,9.680406499268875,12,13.231668803461037,1,65,3,1,0,1,3,0,11.918397239722838,1,0,14.939465979296001
4505,11.869207331664223,9,12.085432314014094,0,44,3,1,0,1,4,0,11.918397239722838,4,0,12.239512257194662
4510,13.912365907015863,8,13.71179475671078,1,75,3,1,0,1,2,0,15.623963414041532,5,0,17.280799517149582
4515,7.601402334583733,8,10.936821754744528,0,59,3,1,0,1,1,0,10.707751151716078,4,0,7.601402334583733
4520,12.031368006227389,9,11.458351803974335,1,74,3,1,0,1,2,0,0.0,5,0,13.231291322213183
4525,10.905974329106854,9,11.20508155522288,1,47,3,0,1,1,2,0,12.397110273442197,1,0,10.905974329106854
4530,10.979189389621132,14,12.097553606596385,1,41,3,0,2,2,1,0,13.049794835104816,4,0,12.098993988044977
4535,10.043292972227004,8,10.569104881654322,1,82,2,0,1,2,3,0,10.494075844768336,2,0,10.12667110305036
4540,5.968707559985366,9,9.818828007928495,0,56,2,0,0,2,3,1,9.210440366976517,2,1,5.968707559985366
4545,12.180759965737863,13,12.436602669205573,1,61,3,1,0,1,2,0,0.0,4,0,16.125567765052597
4550,6.2166061010848646,12,9.818828007928495,0,59,1,0,0,2,2,0,8.160803920954665,4,0,6.2166061010848646
4555,9.392745258631441,14,11.485380194730258,1,59,3,0,0,1,1,0,8.169336395928386,4,0,12.976183182038383
4560,8.732465848349879,12,11.821849494415464,1,53,3,0,1,1,1,0,11.472113887062386,5,0,11.996591585872558
4565,7.698936199813447,9,11.159961747859198,0,26,2,1,4,1,1,0,10.463131911491967,4,1,7.698936199813447
4570,9.680406499268875,8,11.144457783705516,0,44,2,1,1,1,1,0,6.90875477931522,5,0,11.338583982516495
4575,8.160803920954665,12,11.890841876391685,1,67,3,0,1,1,2,0,13.121364879070743,2,0,13.046563821483023
4580,11.407576060361786,12,12.616775342823493,1,29,3,0,0,1,1,0,13.304686600863562,3,0,13.61217085943569
4585,12.653961664405365,8,12.526827418238932,1,54,3,1,0,1,4,0,0.0,5,0,14.133237479566205
4590,8.131824785007195,8,11.975999125353795,1,51,2,0,0,1,1,0,11.72157244693173,1,0,11.133142723386813
4595,11.732952163942832,12,12.167348992793892,1,67,3,1,1,1,2,0,0.0,5,0,15.27287153886801
4600,10.995427631436174,8,11.079920226254767,1,75,1,0,0,1,3,0,0.0,5,0,12.12703484943049
4605,15.561051727941232,12,16.03807664017651,1,67,3,1,0,1,2,1,11.184435286790631,5,0,16.6110220959201
4610,6.018593214496234,11,10.35288797609956,0,43,1,0,2,2,1,0,11.354175893097942,2,0,9.149634496858788
4615,10.505094936455558,13,12.44939597018852,1,52,3,1,1,1,1,0,14.441984139729627,4,0,14.349955633323454
4620,5.771441123130016,10,10.121094683881875,0,51,2,0,0,2,4,0,3.713572066704308,4,0,6.19644412779452
4625,10.165890277802454,13,11.502018610712573,1,73,0,1,0,2,2,0,12.715900771961074,5,0,12.228328144428588
4630,8.412054873292933,11,11.600689921732425,1,41,2,0,1,1,1,0,11.83138646878959,2,1,11.556951919719207
4635,12.672949516558306,12,13.997676372797747,1,64,3,1,1,1,2,0,13.774689605110144,2,0,16.197461298709275
4640,9.036106025364846,9,11.112709551691127,1,66,2,0,0,2,3,0,12.532389923220464,2,0,12.639156163208208
4645,10.881832472145556,14,11.628131462113434,1,84,3,1,0,1,3,0,0.0,4,0,12.351042741030522
4650,6.566672429803241,8,11.30306069379871,1,66,3,0,0,1,1,0,11.951186847493476,5,0,12.95680689804305
4655,13.021439671201302,12,13.922875224529346,1,66,1,1,0,1,3,0,12.818554633046093,5,0,15.636019602421621
4660,14.524679206631616,12,15.363031706080267,1,75,0,1,0,1,2,0,0.0,3,0,18.262274533853454
4665,11.52910388569769,13,11.079920226254767,1,26,3,1,2,1,2,0,12.371760797732204,2,1,12.126114517613003
4670,7.944846711001996,7,9.470543987306165,1,58,1,0,0,2,4,0,9.23024103368252,2,0,7.944846711001996
4675,10.819798284210286,14,11.92720927582913,1,72,2,1,1,1,2,0,10.849356503939038,2,0,12.337105293891872
4680,7.601402334583733,8,11.667700038278326,1,74,2,1,0,1,2,0,9.75272280064639,5,0,10.819798284210286
4685,4.61512051684126,9,10.769770904774587,0,33,1,0,0,2,1,0,8.618123909994678,5,0,4.61512051684126
4690,9.409273194575334,12,9.550580764956187,0,29,3,0,0,2,1,0,8.11701408773731,4,0,9.409273194575334
4695,5.707110264748875,8,11.234068703381137,1,61,2,0,0,1,1,0,11.813037464800539,5,0,12.124325569579169
4700,11.728044909070785,12,10.85678052964002,1,63,2,1,0,2,1,0,0.0,5,0,12.058158312538197
4705,12.540761149388421,12,13.094809883705356,0,56,3,1,1,1,1,0,0.0,3,0,13.383959654737488
4710,0.6931471805599453,4,9.875983398597374,0,40,2,0,1,2,2,0,0.0,1,0,0.6931471805599453
4715,14.390437669882832,13,13.23360490903136,1,31,3,0,0,1,2,0,13.710151153416941,5,0,15.0799200135001
4720,7.824445930877619,9,10.204473075038809,0,36,3,0,2,2,1,0,9.99884318585288,3,0,9.433563920090563
4725,9.99884318585288,12,11.620298215285262,1,29,3,0,1,1,1,0,12.216027926866138,5,0,10.468829770273567
4730,9.90353755128617,12,12.258564547947534,1,66,3,0,0,1,2,0,13.487007879880162,1,0,15.953221125692608
4735,8.575650760987806,8,10.85678052964002,0,25,3,0,0,2,1,0,0.0,5,0,9.259225769705994
4740,8.699681400989514,8,10.121094683881875,1,68,0,1,0,1,3,0,10.003378135350923,2,0,8.699681400989514
4745,9.472781556562168,5,10.030126736355644,1,72,1,0,0,2,3,0,9.472781556562168,3,0,9.472781556562168
4750,8.853808274977197,-1,11.528864869228297,1,43,2,0,2,1,4,0,7.67368812926773,2,1,8.853808274977197
4755,11.50892748368293,13,10.769770904774587,1,74,2,1,0,1,2,0,6.90875477931522,1,0,12.384223015005313
4760,13.846040732930732,13,12.954270171159468,1,48,3,0,3,1,1,0,12.785493861878301,4,0,15.431924282744513
4765,7.048386408721883,9,9.930047914868675,1,67,2,0,0,2,1,0,13.304686600863562,4,0,7.048386408721883
4770,12.326877776718879,14,14.84620851513345,1,58,3,1,1,1,2,0,13.510344528022657,5,0,16.230145036166935
4775,8.160803920954665,9,11.219680157476482,0,53,2,0,0,2,1,0,10.643064971973882,5,1,8.160803920954665
4780,4.795790545596741,8,9.818828007928495,1,62,3,0,0,2,3,0,10.819798284210286,5,0,4.795790545596741
4785,8.82776136765472,12,11.159961747859198,1,51,3,0,1,2,1,0,12.34213645388149,5,0,11.060698883507174
4790,10.12667110305036,11,11.28963784015293,1,37,3,0,3,1,1,0,12.026353699006034,1,0,11.251573687764477
4795,0.0,8,10.030126736355644,1,53,3,1,0,2,1,1,9.169622538697624,5,0,11.775297421715827
4800,9.928228944424575,12,12.623918206710941,0,26,3,1,0,2,1,0,9.680406499268875,2,0,12.103491596905931
4805,4.61512051684126,8,10.623170750425082,0,40,1,0,0,1,1,0,9.392745258631441,4,0,4.61512051684126
4810,9.105090961257085,10,12.308574737108612,1,72,3,1,0,1,3,0,4.61512051684126,5,0,13.31957518872681
4815,13.314636915215106,14,13.076872220227296,1,58,3,1,0,1,2,0,0.0,2,0,14.429615072309161
4820,7.438971592395862,11,10.792243293398966,0,72,1,0,2,2,3,0,7.107425474110705,5,0,9.488047863280759
4825,0.0,12,10.623170750425082,1,38,2,1,1,1,1,0,12.39545670404338,1,0,0.0
4830,10.596659732783579,12,11.941393817766459,1,62,3,1,0,1,3,1,0.0,1,0,15.345905479508115
4835,8.699681400989514,8,10.540934738927314,1,41,1,0,2,1,1,0,11.788289480716973,5,0,9.305741456739435
4840,6.236369590203704,7,11.47420700963637,0,29,1,0,0,1,1,0,10.39516093745751,2,0,6.236369590203704
4845,14.082480354515004,13,14.87164199464218,1,72,2,1,0,1,2,0,10.950824090522445,5,0,16.839101208272968
4850,6.68586094706836,8,11.028627743384128,1,43,3,0,2,1,1,0,11.96451687485452,5,0,11.701899842594283
4855,7.340186835320115,2,9.930047914868675,0,70,3,0,0,1,3,0,0.0,1,0,7.340186835320115
4860,14.58677598021581,13,14.229788421485082,1,55,3,0,2,1,1,0,14.403297778421795,1,0,16.916436778304266
4865,6.68586094706836,9,10.41957729248823,0,30,2,0,1,2,1,0,8.006700845440367,2,0,9.314790473332646
4870,11.211833885608513,11,11.868369176293065,1,41,3,1,2,1,1,0,11.88518533064729,5,0,11.407576060361786
4875,6.2166061010848646,9,10.243692364956795,1,34,2,0,2,1,4,0,9.680406499268875,4,0,6.2166061010848646
4880,4.948759890378168,8,10.723251890363157,0,42,1,0,0,1,1,0,10.064372648053766,4,1,4.948759890378168
4885,12.05263587747392,14,12.365461861933738,1,30,3,1,1,1,2,0,12.025755079404917,4,0,13.10532097717404
4890,11.002116507732017,12,12.20592107089332,1,45,3,0,0,2,1,0,13.215855541983634,4,0,12.433212202169729
4895,11.58525542883217,12,12.150351505528926,1,51,3,0,2,1,1,0,12.013706813470414,2,0,13.90854633509278
4900,15.163869639407164,8,17.29083953130359,1,58,3,1,2,1,2,0,0.0,1,0,16.723345662330537
4905,11.48247656671073,9,10.792243293398966,1,68,2,1,0,1,3,0,0.0,2,0,13.794287942962585
4910,5.356586274672012,9,10.623170750425082,1,55,2,0,2,1,3,0,11.350418300109132,1,0,5.356586274672012
4915,10.933124826700707,12,11.59073968241829,1,41,3,1,3,1,1,0,0.0,2,0,12.151621739551222
4920,7.438971592395862,8,11.41638805747596,1,63,3,1,0,2,1,0,11.8177669686689,5,0,9.23024103368252
4925,14.22430412061672,9,16.268221364666164,1,72,3,1,0,1,2,0,14.441449523589984,4,0,16.57962604603126
4930,5.303304908059076,8,10.204473075038809,1,61,2,0,0,1,3,0,10.165890277802454,5,1,5.303304908059076
4935,9.34583234141334,8,12.522898154395813,1,55,3,1,1,1,1,0,13.32677416091854,3,0,9.34583234141334
4940,11.456365695436427,14,13.212098742711769,1,80,3,1,0,1,3,0,0.0,5,0,15.655186953057292
4945,9.711176264112805,8,11.329377681719818,1,51,3,0,1,2,1,0,11.857939686169175,5,0,9.975854724662028
4950,8.006700845440367,12,12.734956177307375,1,51,2,1,2,1,1,0,11.112462823634855,2,0,10.434145214930487
4955,0.0,7,9.69367212060944,0,41,1,0,0,2,2,0,0.0,4,0,0.0
4960,7.696667081526462,13,10.16365262239305,0,59,3,0,0,2,3,0,8.987321812850125,5,1,11.241129864948206
4965,8.77971129020447,12,10.596503161315887,1,56,2,0,3,1,1,0,10.088347551424729,2,0,8.79497643168877
4970,7.976251943745623,11,11.883406949070103,1,57,1,0,0,1,1,0,11.825551337974238,4,0,12.287242410144053
4975,12.487488878546145,12,13.503232884516677,1,60,3,0,0,1,2,0,0.0,3,1,17.628044686983802
4980,11.840796531639839,11,0.0,1,61,3,1,0,1,2,0,0.0,5,0,15.861886534641071
4985,4.948759890378168,9,10.030126736355644,0,77,2,0,0,2,3,0,8.364275084991524,4,0,7.237778191923443
4990,14.575522146438843,9,15.804338550967119,1,61,3,1,0,1,3,1,14.488455541410652,2,0,16.609756864924012
4995,8.853808274977197,14,10.243692364956795,1,62,3,1,0,1,2,0,0.0,1,0,15.037873521935216
5000,11.728044909070785,14,12.05572732964602,1,84,2,1,0,2,3,0,0.0,4,0,13.94566212039206
5005,10.34177474101152,8,11.518169685974078,1,59,2,1,1,1,1,0,8.006700845440367,3,0,10.34177474101152
5010,10.318935994253193,9,10.204473075038809,1,70,2,1,0,2,3,0,0.0,5,0,10.318935994253193
5015,12.184343263233146,11,11.982778769792814,1,60,3,1,1,2,3,0,13.19189130572284,5,0,14.339470152291545
5020,11.558863947911393,13,12.17852223565681,1,49,3,1,1,1,1,0,13.06685278163674,3,0,13.328891249703604
5025,10.694237736914808,11,11.380020821211883,1,52,3,1,0,2,1,0,11.522885696764481,5,0,13.244405773536606
5030,12.840003118946523,14,13.320616136897561,1,73,3,1,0,1,1,0,0.0,2,0,15.511860025739322
5035,9.852246888342531,12,11.234068703381137,1,36,2,0,2,1,1,0,12.384223015005313,5,0,12.35017731849889
5040,5.602118820879701,12,10.540934738927314,0,49,3,0,1,2,1,0,7.601402334583733,5,0,8.569975376855206
5045,10.463131911491967,12,13.092585193269537,1,74,3,1,0,2,3,0,11.407576060361786,3,0,15.091432140776401
5050,10.348205424565993,9,12.885460133287797,1,65,3,1,0,1,2,0,11.560772327227417,3,0,14.024312559118844
5055,9.687257547490987,9,11.45262775051376,1,74,1,1,0,1,3,0,11.995357787034976,4,0,13.146296677399599
5060,7.601402334583733,8,10.121094683881875,0,94,1,0,0,2,3,0,0.0,4,0,7.601402334583733
5065,3.9318256327243257,8,10.897601753215403,1,39,0,0,1,1,1,0,11.559818592808288,4,0,3.9318256327243257
5070,4.51085950651685,7,11.046019206267971,1,76,1,0,0,2,1,0,10.607599400820764,5,0,4.51085950651685
5075,8.77971129020447,3,11.175229004346514,0,50,3,0,1,1,1,0,9.96038759966894,4,1,8.77971129020447
5080,7.8636512654486515,14,11.92720927582913,1,73,3,0,1,1,2,0,12.133507329024972,3,0,13.350090010337249
5085,0.0,6,10.540934738927314,0,32,2,0,4,1,4,0,0.0,2,0,0.0
5090,6.447305862541213,8,10.451325058234776,0,68,1,0,1,2,3,0,9.726213236963687,5,0,9.015662792972645
5095,8.867990898182093,9,11.451478997511787,1,63,1,0,3,1,1,0,13.336475871204131,3,1,12.911891697714024
5100,10.591647316585027,9,12.866095815680177,1,56,3,1,1,2,1,0,13.190115479455148,3,0,13.908819646010246
5105,7.989899374942939,8,10.030126736355644,0,61,3,0,0,2,2,1,8.922791623969637,1,0,7.989899374942939
5110,10.404293143019792,9,12.167348992793892,1,57,1,1,0,1,2,0,12.80902429414634,2,0,10.404293143019792
5115,6.111467339502679,8,9.818828007928495,0,51,2,0,0,2,3,0,0.0,4,0,6.111467339502679
5120,10.87806606028079,12,12.95682444491998,1,72,3,1,0,1,1,0,13.049794835104816,3,0,15.602760039134486
5125,6.68586094706836,8,10.511947979456522,0,64,3,1,0,2,1,0,5.707110264748875,3,0,6.985641817639208
5130,6.398594934535208,3,9.875983398597374,0,60,2,0,1,1,3,0,0.0,5,0,6.398594934535208
