,LOG_LIQ,EDUC,LOG_INCOME,HHOUSES,AGE,FINLIT,EMERGSAV,KIDS,MARRIED,OCCAT1,YESFINRISK,LOG_DEBT,SPENDMOR,LATE,LOG_RET_ASSETS
18370,7.313886831633462,12,11.676916614849558,0,54,1,0,3,1,1,0,7.0909098220799835,2,0,9.792611856190192
18375,10.707751151716078,14,11.92720927582913,0,31,2,0,0,1,1,0,11.277215789596893,4,0,12.720992874945178
18380,5.771441123130016,10,9.470543987306165,0,63,2,0,2,2,1,0,7.601402334583733,1,0,5.771441123130016
18385,7.201170883281678,8,10.91740401772286,0,51,2,0,1,1,2,0,8.556606193773073,5,1,7.201170883281678
18390,10.085850775128717,13,11.462907572501242,1,77,1,0,0,1,3,0,11.775297421715827,4,0,13.06896471037963
18395,9.942756341456828,8,11.962300367785085,1,56,3,1,0,1,1,0,10.673618922112436,5,0,11.781432363235949
18400,10.313973369101156,10,11.046019206267971,1,69,1,1,0,2,3,0,11.696920620516192,4,0,12.835083890570749
18405,9.082620630373812,12,11.329377681719818,1,36,3,1,0,2,1,0,12.44312304677877,4,1,11.042137528235768
18410,9.798182590890704,8,12.211311892674125,0,44,1,0,0,1,1,0,8.294299608857235,3,0,10.691967639914864
18415,10.373522431293592,13,11.076581376553111,1,73,2,1,0,2,3,0,0.0,4,0,13.642348128015021
18420,12.765691290604371,9,13.24648101289995,1,77,2,1,0,1,3,0,0.0,5,0,13.454542124461861
18425,14.657078174676883,13,18.736714906055,1,60,3,0,0,1,2,0,0.0,2,0,18.55021667408643
18430,8.740496729931813,9,9.383539618396707,0,19,2,0,0,2,4,0,10.275085591132715,4,0,8.740496729931813
18435,9.04793908261736,12,9.930047914868675,0,25,2,1,0,2,1,1,8.682877107057168,4,0,9.425532393502772
18440,11.020283511637867,8,12.86329861828133,1,46,2,1,2,1,1,0,13.477378344343276,3,0,11.091346218718432
18445,8.160803920954665,7,11.549918073413814,1,44,2,0,2,1,1,0,12.867809135160735,4,0,8.412054873292933
18450,9.87822102528824,9,11.59073968241829,0,36,3,0,2,1,1,0,0.0,2,0,10.92415631759022
18455,9.105090961257085,12,11.875916329276292,0,65,3,1,0,2,1,0,0.0,5,0,14.595294503688933
18460,13.114333221834064,9,12.161715204458655,1,82,3,1,0,1,3,0,0.0,5,0,15.298727661646375
18465,5.0238805208462765,8,9.818828007928495,1,55,1,0,0,2,3,0,10.900454637442037,4,0,5.0238805208462765
18470,13.910821646859095,14,12.82765702099908,1,75,3,1,0,1,3,0,0.0,4,0,14.537731471682465
18475,12.563750586299374,14,12.133060100630725,1,73,3,1,0,1,1,0,10.463131911491967,5,0,13.435714658591923
18480,6.508769136971682,12,10.076644749570697,0,33,1,0,0,1,1,0,6.111467339502679,5,1,6.508769136971682
18485,10.173552856959743,9,11.853101811967846,0,56,3,1,0,2,1,0,9.798182590890704,1,0,13.73884655270862
18490,10.168962358863777,13,12.498992721632195,1,65,3,1,0,1,3,0,0.0,3,0,12.39702765987948
18495,12.413090879946887,12,12.775523245143145,1,40,3,1,2,1,2,0,13.118357364036902,2,0,14.478199046503295
18500,7.170888478512505,14,12.466203023190976,1,45,3,0,2,1,1,0,13.389333939650964,3,0,7.170888478512505
18505,6.90875477931522,8,10.482095840823943,1,60,3,0,2,2,1,1,11.498836682527127,4,0,8.000014093678072
18510,12.345838935721968,8,12.172951219287846,1,68,3,1,0,1,3,0,0.0,4,0,15.04807111068727
18515,11.669937760751914,13,11.610542128340578,0,30,3,1,0,1,1,0,11.002116507732017,4,0,12.06105265381003
18520,5.993961427306569,8,10.87739942351305,0,52,2,0,1,2,1,0,9.140025198061156,3,1,10.827766295132466
18525,8.77971129020447,8,11.17371272508997,1,73,2,1,0,1,3,0,0.0,4,0,13.092936626443631
18530,9.137877200242468,5,10.897601753215403,1,65,2,1,0,1,1,1,8.77043908654689,3,0,12.045322738624144
18535,3.091042453358316,8,10.511947979456522,0,35,2,0,0,2,1,0,8.398634855292102,4,0,5.641907070938114
18540,14.203965815342823,12,14.915766784525715,1,58,2,1,0,1,2,0,15.136733189149378,5,0,16.33390847805184
18545,6.68586094706836,8,9.930047914868675,1,70,3,0,0,2,3,0,7.601402334583733,5,0,12.132431487478716
18550,11.612788899323661,12,13.24955057072685,1,40,3,1,0,1,2,1,13.242811303528269,3,0,12.984254667686653
18555,9.472781556562168,12,11.451478997511787,1,65,3,1,0,1,3,0,12.271396795480596,5,0,9.472781556562168
18560,12.765691290604371,12,11.845379821066128,1,35,3,0,1,1,1,0,12.025755079404917,3,0,13.1499804899607
18565,10.308985993422082,13,10.95586961402582,1,92,2,1,0,1,3,0,0.0,4,0,13.579789490265188
18570,4.394449154672439,8,10.076644749570697,0,34,2,0,2,2,1,0,11.586278151967912,4,0,4.394449154672439
18575,10.524090921620362,8,12.150351505528926,1,44,3,0,2,1,1,0,12.213549623135716,5,0,11.952476330009466
18580,11.970356641102999,8,11.756252709710795,1,61,3,0,0,1,1,0,9.210440366976517,2,1,12.816112636016506
18585,3.9318256327243257,9,9.818828007928495,0,56,2,0,0,2,3,0,0.0,5,0,9.476620038167528
18590,6.948897222313312,10,8.987165257038846,0,36,3,0,1,2,1,0,9.268703615273097,5,0,6.948897222313312
18595,13.122365377402328,12,12.874440766134532,1,66,3,1,0,1,1,0,9.588845298501564,3,0,16.479539276639144
18600,7.520776415062797,8,11.128709656194046,0,32,3,0,0,1,1,0,8.160803920954665,4,1,10.190394324520158
18605,9.933094897288786,11,10.31779779558084,1,77,2,1,0,2,3,0,9.99884318585288,2,0,9.933094897288786
18610,13.551546314212295,14,13.454811996192552,1,68,2,1,0,1,1,0,0.0,5,0,16.240136365378582
18615,16.485443506210228,13,15.374238224657555,1,81,2,1,0,1,2,0,10.203629181337648,5,0,18.016899232799155
18620,13.63877457278093,12,13.814273317948402,1,56,3,1,2,1,1,0,14.48794520739107,5,0,15.155761242362829
18625,11.695255355062795,12,10.204473075038809,0,35,2,1,0,2,1,0,7.601402334583733,2,1,12.335349374897772
18630,7.696667081526462,12,11.079920226254767,1,45,2,0,0,2,1,0,10.857478611593109,4,0,11.811554895830454
18635,5.14166355650266,6,8.931602548935768,0,44,1,0,1,2,2,0,0.0,4,0,5.14166355650266
18640,8.987321812850125,3,10.451325058234776,0,41,1,0,1,1,1,0,0.0,5,0,8.987321812850125
18645,15.463592286409263,12,17.170460291965853,1,63,3,1,0,1,2,0,16.382765025846997,4,0,20.863352944710442
18650,10.809748150372926,12,10.699154876036824,1,63,3,1,0,1,3,0,8.853808274977197,5,0,11.901590234400047
18655,11.798111925972618,13,12.721812895163849,1,67,2,0,0,1,3,0,12.79608183878539,5,0,15.956488188301353
18660,8.101980731853192,11,11.175229004346514,0,73,2,1,0,2,3,0,6.55250788703459,4,0,8.101980731853192
18665,9.99884318585288,12,12.507024863496335,1,44,2,0,0,1,1,0,11.635151947212842,3,0,13.87378040948403
18670,10.463131911491967,8,10.569104881654322,0,61,3,0,3,1,2,0,6.398594934535208,4,0,10.463131911491967
18675,7.824445930877619,9,11.342280932513091,1,50,2,0,4,1,1,0,0.0,5,0,7.824445930877619
18680,8.839421607620602,11,11.639529406064158,0,36,3,1,0,1,1,0,9.481206851499401,5,0,8.881975184248867
18685,0.0,9,9.470543987306165,0,63,2,1,0,2,3,0,0.0,3,0,0.0
18690,6.311734809152915,9,9.383539618396707,0,27,1,0,1,2,4,0,7.601402334583733,3,1,6.311734809152915
18695,11.813037464800539,8,10.936821754744528,1,67,2,1,0,1,3,0,11.0186455364637,5,0,11.813037464800539
18700,11.189975390433117,8,12.401664759016501,1,53,2,0,2,2,1,0,12.692997917784087,4,0,14.149408770339946
18705,10.308985993422082,12,11.60266814359896,1,60,3,0,0,1,1,0,12.403697343010705,5,0,13.378556330751158
18710,10.896757843893464,8,12.060739842420068,1,66,3,1,0,1,1,0,3.044522437723423,4,0,12.6410997921206
18715,12.277467297099491,14,15.886654492722034,1,62,3,1,0,1,2,0,15.550699852070762,5,0,17.260941739314646
18720,10.043292972227004,12,12.86329861828133,1,56,3,1,0,1,1,0,13.122365377402328,3,0,14.905754933096265
18725,12.301387370778713,7,11.518169685974078,1,68,3,1,0,1,3,0,0.0,2,0,14.48794520739107
18730,12.821260987319457,13,15.985068582672325,1,85,0,1,0,1,3,0,0.0,4,0,19.782784868832252
18735,10.985309671896763,14,12.915151848943381,1,40,3,1,0,1,2,0,14.708737759572582,4,0,14.668648900908911
18740,12.345838935721968,12,13.324155957794543,1,51,2,1,0,1,1,0,12.721888795877375,5,0,14.945298787202558
18745,9.75272280064639,12,11.686049021222916,1,28,3,0,1,1,1,0,12.782688818818986,5,0,9.75272280064639
18750,4.61512051684126,5,9.470543987306165,0,50,2,0,0,2,1,0,0.0,1,0,4.61512051684126
18755,2.4849066497880004,8,10.386788464403516,0,56,0,0,0,2,3,0,0.0,5,0,4.127134385045092
18760,13.710151153416941,14,12.951709356349655,1,63,3,1,1,1,1,1,0.0,5,0,16.810042161001817
18765,9.105090961257085,6,11.028627743384128,1,71,3,1,0,1,1,0,12.225880174775122,4,0,10.173552856959743
18770,11.608244735642321,10,11.404411999129266,1,70,2,1,0,2,1,0,12.211065162153215,3,0,14.574459992065522
18775,5.303304908059076,3,9.69367212060944,1,65,2,0,0,2,3,0,9.210440366976517,5,0,5.5254529391317835
18780,7.8636512654486515,11,11.485380194730258,0,38,2,0,0,1,1,0,9.495594499353297,4,0,9.717218213494077
18785,11.930325731537252,12,12.623918206710941,1,34,2,1,1,1,1,0,12.861001210669146,3,0,13.422173111573422
18790,8.962007209588313,12,11.404411999129266,1,33,2,1,0,1,1,0,12.075969654927759,3,0,10.591647316585027
18795,6.825460036255307,9,9.75820678716859,1,86,2,0,0,2,3,0,0.0,4,0,11.080926425083522
18800,9.844321241866913,8,11.234068703381137,0,47,3,0,3,1,1,0,10.090008612393838,1,0,9.844321241866913
18805,10.709985739582528,13,12.453624289743354,0,35,0,1,1,1,1,0,12.749271553766196,2,0,11.66822691098345
18810,1.0986122886681098,4,10.897601753215403,0,41,2,0,0,2,1,0,9.989711119284745,5,1,1.0986122886681098
18815,11.156264806643742,12,11.234068703381137,1,70,0,1,0,1,3,0,10.714439990727769,4,0,12.400820837540556
18820,6.46302945692067,5,10.540934738927314,0,62,2,0,0,1,3,0,10.429428364110965,2,0,6.46302945692067
18825,12.793862088206213,13,13.465606225930554,1,59,3,1,0,1,2,0,0.0,1,0,15.652880697680038
18830,6.447305862541213,1,9.818828007928495,0,42,2,0,0,2,1,0,0.0,4,0,7.875119281040293
18835,12.678264503855369,13,14.345028472183516,1,74,3,1,1,1,1,0,0.0,2,0,17.0309685888229
18840,11.955757004009955,12,12.991915683347502,1,41,1,1,2,1,1,0,12.669809806411457,2,1,13.879152740009959
18845,12.429220196836383,12,14.429809435565296,1,44,3,1,2,1,1,1,13.997832948091215,3,0,14.603968372873895
18850,13.935070680332966,12,14.394091372646512,0,44,3,1,0,1,1,1,0.0,2,0,15.713760054711393
18855,10.353001443478973,7,11.580689440046534,1,66,3,0,0,1,1,0,10.373522431293592,3,0,11.954728931106146
18860,13.003582093664077,12,11.09644927542817,1,75,2,0,0,1,3,0,12.353289340754502,4,0,13.455975814408239
18865,10.62135173563291,10,12.016004213152664,1,65,3,1,0,1,3,0,10.645448706505872,5,0,14.22563214117842
18870,8.006700845440367,6,10.897601753215403,1,68,2,0,0,1,3,0,9.905535454153428,4,0,12.095146671399466
18875,7.0909098220799835,12,11.59073968241829,1,48,2,0,1,1,4,0,12.696188290481068,3,0,7.0909098220799835
18880,0.0,8,6.672116019554623,0,61,2,0,0,2,1,0,0.0,1,0,0.0
18885,9.392745258631441,13,11.234068703381137,0,29,3,1,0,2,1,0,10.819798284210286,3,0,10.073272520325904
18890,9.305741456739435,12,9.875983398597374,0,26,3,0,0,2,4,0,9.90353755128617,1,0,9.495594499353297
18895,18.435490545458837,14,15.1825484271779,1,65,3,0,0,1,3,0,0.0,2,0,19.947719175870933
18900,12.337105293891872,14,14.958026580065576,1,56,3,1,0,1,2,0,14.403297778421795,5,0,15.973416755155725
18905,9.129238770539141,10,11.837597736678639,0,49,3,0,3,1,1,0,9.392745258631441,4,0,9.562475024372697
18910,7.659642954564682,12,10.674462827538377,0,73,1,1,0,1,1,0,11.060384472475045,3,0,7.659642954564682
18915,9.798182590890704,8,11.079920226254767,1,46,3,0,1,1,1,0,12.651722745315356,5,0,10.968215530759236
18920,6.493753839851686,4,10.243692364956795,0,41,3,0,4,2,1,0,0.0,4,0,6.493753839851686
18925,7.878912912297133,8,9.98133877479715,0,36,2,0,2,1,2,1,10.034121000171332,1,0,8.352554369474591
18930,15.616560239224903,12,14.904916772135065,0,80,2,1,0,1,2,0,0.0,1,0,16.978704567695647
18935,11.103467395592086,4,11.159961747859198,1,65,1,0,0,1,1,0,12.252626978758029,3,0,11.103467395592086
18940,12.577536196962324,12,14.701575924000322,1,78,0,1,0,1,2,0,0.0,1,0,16.381764525590235
18945,7.601402334583733,10,10.792243293398966,1,38,3,0,2,1,2,0,12.198549416880068,5,1,7.601402334583733
