,NETWORTH,INCOME,FIN,NFIN,DEBT,EQUITY,STOCKS,HHOUSES,BUS,RETQLIQ,YESFINRISK,SPENDMOR,LATE,EMERGSAV,LIQ,FINLIT,AGE,EDUC,MARRIED,KIDS,OCCAT1,RET_ASSETS
18845,9888000.0,1848359.2184,1890000,9198000.0,1200000,835000.0,350000,1,3000000,310000,1,3,0,1,250000,3,44,12,1,2,1,2200000
18850,5474600.0,1783504.509,5439600,35000.0,0,2279170.0,1400000,0,0,1234600,1,2,0,1,1127000,3,44,12,1,0,1,6674200
18855,340950.0,107010.27054,101350,271600.0,32000,63650.0,12000,1,0,54200,0,3,0,0,31350,3,66,7,1,0,1,155550
18860,1000880.0,65935.621242,698000,534600.0,231720,188250.0,0,1,0,0,0,4,0,0,444000,2,75,12,1,0,3,698000
18865,1308000.0,165379.50902,807000,543000.0,42000,66000.0,66000,1,0,700000,0,5,0,1,41000,3,65,10,1,0,3,1507000
18870,289960.0,54045.591182,136000,174000.0,20040,37450.0,0,1,0,43000,0,4,0,0,3000,2,68,6,1,0,3,179000
18875,196400.0,108091.18236,1200,521700.0,326500,0.0,0,1,0,0,0,3,0,0,1200,2,48,12,1,1,4,1200
18880,0.0,789.06563126,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,2,61,8,2,0,1,0
18885,-7500.0,75663.827655,18500,24000.0,50000,1225.0,100,0,0,5200,0,3,0,1,12000,3,29,13,2,0,1,23700
18890,11000.0,19456.412826,13300,17700.0,20000,2000.0,2000,0,0,0,0,1,0,0,11000,3,26,12,2,0,4,13300
18895,558059000.0,3923709.9198,448452000,109607000.0,0,315294450.0,308040000,1,28730000,12000000,0,2,0,0,101492000,3,65,14,1,0,3,460452000
18900,9298400.0,3134644.2886,5853000,5245400.0,1800000,3861844.4444,0,1,500000,2800000,0,5,0,1,228000,3,56,14,1,0,2,8653000
18905,18720.0,138356.71343,11720,19000.0,12000,1250.0,0,0,0,2500,0,4,0,0,9220,3,49,10,1,3,1,14220
18910,-43980.0,43236.472946,2120,17500.0,63600,0.0,0,0,0,0,0,3,0,1,2120,1,73,12,1,0,1,2120
18915,135700.0,64854.709419,38000,410000.0,312300,17250.0,0,1,0,20000,0,5,0,0,18000,3,46,8,1,1,1,58000
18920,10660.0,28103.707415,660,10000.0,0,0.0,0,0,0,0,0,4,0,0,660,3,41,4,2,4,1,660
18925,-850.0,21618.236473,3440,18500.0,22790,800.0,0,0,8800,800,1,1,0,0,2640,2,36,8,1,2,2,4240
18930,65673000.0,2972507.515,23646000,42027000.0,0,14890000.0,9090000,0,40880000,0,0,1,0,1,6056000,2,80,12,1,0,2,23646000
18935,324770.0,70259.268537,66400,467900.0,209530,0.0,0,1,0,0,0,3,0,0,66400,1,65,4,1,0,1,66400
18940,44992070.0,2425566.1323,8832970,36159100.0,0,4543000.0,359000,1,26850000,4184000,0,1,0,1,289970,0,78,12,1,0,2,13016970
18945,196500.0,48641.032064,2000,393000.0,198500,0.0,0,1,50000,0,0,5,1,0,2000,3,38,10,1,2,2,2000
18950,2196000.0,69178.356713,1880000,316000.0,0,920000.0,0,1,0,700000,0,3,0,1,80000,3,81,13,2,0,3,2580000
18955,2234950.0,317788.07615,686000,1616950.0,68000,106700.0,0,1,850000,422000,0,4,0,1,164000,3,60,12,1,1,1,1108000
18960,11180.0,25941.883768,300,11000.0,120,0.0,0,0,0,0,0,5,0,1,300,2,27,8,2,0,1,300
18965,137041.0,118900.3006,231941,59000.0,153900,14400.0,300,0,0,70100,0,4,0,0,1541,2,50,10,1,0,1,302041
18970,18628000.0,121062.12425,628000,18000000.0,0,0.0,0,1,15000000,600000,0,5,0,1,8000,3,71,13,1,0,2,1228000
18975,6900.0,56207.41483,1700,5200.0,0,0.0,0,0,0,0,0,5,0,0,1700,0,53,8,1,0,4,1700
18980,13370.0,52964.679359,2420,17600.0,6650,0.0,0,0,0,0,0,3,0,0,2420,1,23,11,1,1,1,2420
18985,58438600.0,3621054.6092,2552200,55886400.0,0,0.0,0,1,33260000,2000000,0,4,0,0,551200,2,66,9,1,1,2,4552200
18990,13778000.0,3912900.8016,8959000,4819000.0,0,4966500.0,2500000,1,3130000,1749000,0,4,0,1,374000,3,68,12,1,0,2,10708000
18995,307300.0,140518.53707,215000,224800.0,132500,30000.0,0,1,100000,30000,1,2,0,0,150000,1,37,10,2,0,2,245000
19000,688616800.0,63214966.182,8122000,680494800.0,0,8090000.0,6880000,0,680420000,1210000,0,4,0,1,32000,2,82,13,1,0,3,9332000
19005,3200.0,77825.651303,100,3900.0,800,0.0,0,0,0,0,0,3,0,0,100,1,44,8,1,0,1,100
19010,6517300.0,522080.41082,1254500,5373800.0,111000,550000.0,0,1,3400000,4500,0,2,0,1,520000,3,60,12,1,0,2,1259000
19015,39600.0,16213.677355,0,43000.0,3400,0.0,0,1,0,0,0,4,1,0,0,1,59,9,2,0,3,0
